Vector Size,Iteration,Assembly Time (s), C Time (s)
1048576,1,0.019000,0.038000
,2,0.019000,0.038000
,3,0.019000,0.036000
,4,0.018000,0.036000
,5,0.020000,0.037000
,6,0.017000,0.036000
,7,0.019000,0.039000
,8,0.018000,0.036000
,9,0.019000,0.037000
,10,0.017000,0.037000
,11,0.019000,0.036000
,12,0.020000,0.037000
,13,0.019000,0.040000
,14,0.019000,0.037000
,15,0.019000,0.037000
,16,0.017000,0.036000
,17,0.017000,0.037000
,18,0.017000,0.039000
,19,0.018000,0.037000
,20,0.018000,0.036000
,21,0.017000,0.037000
,22,0.018000,0.036000
,23,0.017000,0.037000
,24,0.017000,0.038000
,25,0.017000,0.037000
,26,0.017000,0.036000
,27,0.017000,0.037000
,28,0.017000,0.037000
,29,0.017000,0.048000
,30,0.017000,0.039000

, , Average Time (s): 0.017967, Average Time (s): 0.037467
