Vector Size,Iteration,Assembly Time (s), C Time (s)
268435456,1,27.854000,32.298000
,2,21.133000,19.504000
,3,23.753000,18.664000
,4,21.999000,6.350000
,5,22.800000,2.153000
,6,20.087000,2.011000
,7,20.961000,2.091000
,8,19.654000,2.954000
,9,21.030000,3.628000
,10,20.323000,4.368000
,11,20.581000,2.402000
,12,20.213000,1.856000
,13,19.626000,1.940000
,14,20.125000,2.156000
,15,19.564000,2.049000
,16,19.769000,2.005000
,17,20.492000,1.925000
,18,19.635000,1.839000
,19,17.650000,1.933000
,20,19.957000,1.931000
,21,21.781000,1.962000
,22,20.616000,1.952000
,23,17.891000,1.855000
,24,18.328000,1.886000
,25,20.013000,1.952000
,26,18.694000,2.072000
,27,20.735000,1.964000
,28,20.349000,1.957000
,29,21.171000,1.971000
,30,31.117000,1.860000

, , Average Time (s): 20.930033, Average Time (s): 4.449600
