Vector Size,Iteration,Assembly Time (s), C Time (s)
1048576,1,0.020000,0.006000
,2,0.017000,0.007000
,3,0.018000,0.007000
,4,0.017000,0.007000
,5,0.019000,0.006000
,6,0.018000,0.006000
,7,0.018000,0.007000
,8,0.018000,0.007000
,9,0.017000,0.006000
,10,0.017000,0.007000
,11,0.017000,0.006000
,12,0.017000,0.007000
,13,0.017000,0.006000
,14,0.017000,0.007000
,15,0.017000,0.007000
,16,0.018000,0.006000
,17,0.019000,0.007000
,18,0.017000,0.006000
,19,0.017000,0.006000
,20,0.017000,0.007000
,21,0.017000,0.006000
,22,0.017000,0.007000
,23,0.017000,0.006000
,24,0.017000,0.007000
,25,0.017000,0.006000
,26,0.017000,0.007000
,27,0.017000,0.007000
,28,0.017000,0.007000
,29,0.019000,0.008000
,30,0.017000,0.006000

, , Average Time (s): 0.017467, Average Time (s): 0.006600
